Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
01/08/2025 01:10:52,Index price adjustment,NSDQ100/USD," 0,05 ",-," 0,05 "," 2.112,99 "," 1.237,51 ",3088420955,CFD," 0,00 "
01/08/2025 01:10:52,Index price adjustment,NSDQ100/USD," 0,08 ",-," 0,08 "," 2.113,07 "," 1.237,59 ",3088524142,CFD," 0,00 "
01/08/2025 01:10:52,Index price adjustment,NSDQ100/USD," 0,13 ",-," 0,13 "," 2.113,20 "," 1.237,72 ",3088535538,CFD," 0,00 "
01/08/2025 01:10:52,Index price adjustment,NSDQ100/USD," 0,10 ",-," 0,10 "," 2.113,30 "," 1.237,82 ",3088626940,CFD," 0,00 "
01/08/2025 08:57:27,Edit Stop Loss,-,"(24,49)",-," 0,00 "," 2.113,30 "," 1.213,33 ",3088420955,-," 0,00 "
01/08/2025 08:57:39,Edit Stop Loss,-,"(32,00)",-," 0,00 "," 2.113,30 "," 1.181,33 ",3088524142,-," 0,00 "
01/08/2025 08:58:00,Edit Stop Loss,-,"(40,52)",-," 0,00 "," 2.113,30 "," 1.140,81 ",3088535538,-," 0,00 "
01/08/2025 08:58:11,Edit Stop Loss,-,"(25,80)",-," 0,00 "," 2.113,30 "," 1.115,01 ",3088626940,-," 0,00 "
01/08/2025 08:58:23,Edit Stop Loss,-,"(20,04)",-," 0,00 "," 2.113,30 "," 1.094,97 ",3088710451,-," 0,00 "
01/08/2025 08:58:34,Edit Stop Loss,-,"(21,68)",-," 0,00 "," 2.113,30 "," 1.073,29 ",3088727330,-," 0,00 "
01/08/2025 09:02:27,Open Position,NSDQ100/USD," 101,99 ",0.0887," 0,00 "," 2.113,30 "," 971,30 ",3089062260,CFD," 0,00 "
01/08/2025 12:15:40,Position closed,NSDQ100/USD," 101,92 ",0.0887,"(0,07)"," 2.113,23 "," 1.073,22 ",3089062260,CFD," 0,00 "
01/08/2025 12:34:11,Open Position,NSDQ100/USD," 119,98 ",0.10457," 0,00 "," 2.113,23 "," 953,24 ",3089233578,CFD," 0,00 "
01/08/2025 12:37:20,Position closed,NSDQ100/USD," 124,11 ",0.10457," 4,13 "," 2.117,36 "," 1.077,35 ",3089233578,CFD," 0,00 "
01/08/2025 12:46:49,Open Position,NSDQ100/USD," 57,98 ",0.10431," 0,00 "," 2.117,36 "," 957,37 ",3089246664,CFD," 0,00 "
01/08/2025 13:47:28,Open Position,NSDQ100/USD," 123,26 ",0.105252," 0,00 "," 2.117,36 "," 837,39 ",3089695149,CFD," 0,00 "
01/08/2025 14:04:14,Edit Stop Loss,-,"(46,52)",-," 0,00 "," 2.117,36 "," 790,87 ",3088727330,-," 0,00 "
01/08/2025 14:04:22,Edit Stop Loss,-,"(38,73)",-," 0,00 "," 2.117,36 "," 752,14 ",3088710451,-," 0,00 "
01/08/2025 14:04:31,Edit Stop Loss,-,"(38,65)",-," 0,00 "," 2.117,36 "," 713,49 ",3088626940,-," 0,00 "
01/08/2025 14:04:39,Edit Stop Loss,-,"(51,46)",-," 0,00 "," 2.117,36 "," 662,03 ",3088535538,-," 0,00 "
01/08/2025 14:04:47,Edit Stop Loss,-,"(30,78)",-," 0,00 "," 2.117,36 "," 631,25 ",3088524142,-," 0,00 "
01/08/2025 14:04:56,Edit Stop Loss,-,"(19,31)",-," 0,00 "," 2.117,36 "," 611,94 ",3088420955,-," 0,00 "
01/08/2025 14:05:06,Edit Stop Loss,-,"(24,11)",-," 0,00 "," 2.117,36 "," 587,83 ",3089246664,-," 0,00 "
01/08/2025 14:05:24,Edit Stop Loss,-,"(3,28)",-," 0,00 "," 2.117,36 "," 584,55 ",3089695149,-," 0,00 "
01/08/2025 14:17:14,Position closed,NSDQ100/USD," 124,20 ",0.105252," 0,94 "," 2.118,30 "," 708,75 ",3089695149,CFD," 0,00 "
01/08/2025 17:17:55,Open Position,NSDQ100/USD," 119,99 ",0.105579," 0,00 "," 2.118,30 "," 588,76 ",3090358723,CFD," 0,00 "
01/08/2025 17:34:18,Position closed,NSDQ100/USD," 121,58 ",0.105579," 1,59 "," 2.119,89 "," 710,34 ",3090358723,CFD," 0,00 "
01/08/2025 17:34:36,Open Position,NSDQ100/USD," 150,00 ",0.131893," 0,00 "," 2.119,89 "," 560,34 ",3090377177,CFD," 0,00 "
01/08/2025 18:33:52,Position closed,NSDQ100/USD," 154,05 ",0.131893," 4,05 "," 2.123,94 "," 714,39 ",3090377177,CFD," 0,00 "
